medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,event,country,country_code,discipline,discipline_code
Bronze Medal,3,2021-08-29 00:00:00.0,PELENDRITOU K,PELENDRITOU Karolina,W,../../../en/results/swimming/athlete-profile-n1723359-pelendritou-karolina.htm,Women's 50m Freestyle - S11,Cyprus,CYP,Swimming,SWM
Gold Medal,1,2021-08-29 00:00:00.0,GOMES SANTIAGO MC,GOMES SANTIAGO Maria Carolina,W,../../../en/results/swimming/athlete-profile-n1361240-gomes-santiago-maria-carolina.htm,Women's 50m Freestyle - S13,Brazil,BRA,Swimming,SWM
Silver Medal,2,2021-08-29 00:00:00.0,KRIVSHINA A,KRIVSHINA Anna,W,../../../en/results/swimming/athlete-profile-n1309722-krivshina-anna.htm,Women's 50m Freestyle - S13,RPC,RPC,Swimming,SWM
Bronze Medal,3,2021-08-29 00:00:00.0,GILLI C,GILLI Carlotta,W,../../../en/results/swimming/athlete-profile-n1683497-gilli-carlotta.htm,Women's 50m Freestyle - S13,Italy,ITA,Swimming,SWM
Gold Medal,1,2021-08-29 00:00:00.0,CHOJNOWSKI P,CHOJNOWSKI Patryk,M,../../../en/results/table-tennis/athlete-profile-n1725878-chojnowski-patryk.htm,Men's Singles - Class 10,Poland,POL,Table Tennis,TTE
Silver Medal,2,2021-08-29 00:00:00.0,BOHEAS M,BOHEAS Mateo,M,../../../en/results/table-tennis/athlete-profile-n1358008-boheas-mateo.htm,Men's Singles - Class 10,France,FRA,Table Tennis,TTE
Gold Medal,1,2021-08-29 00:00:00.0,PALOS P,PALOS Peter,M,../../../en/results/table-tennis/athlete-profile-n1728633-palos-peter.htm,Men's Singles - Class 11,Hungary,HUN,Table Tennis,TTE
Silver Medal,2,2021-08-29 00:00:00.0,von EINEM SP,von EINEM Samuel Philip,M,../../../en/results/table-tennis/athlete-profile-n1305161-von-einem-samuel-philip.htm,Men's Singles - Class 11,Australia,AUS,Table Tennis,TTE
Gold Medal,1,2021-08-29 00:00:00.0,BAUS V,BAUS Valentin,M,../../../en/results/table-tennis/athlete-profile-n1366945-baus-valentin.htm,Men's Singles - Class 5,Germany,GER,Table Tennis,TTE
Silver Medal,2,2021-08-29 00:00:00.0,CAO N,CAO Ningning,M,../../../en/results/table-tennis/athlete-profile-n1595742-cao-ningning.htm,Men's Singles - Class 5,People's Republic of China,CHN,Table Tennis,TTE
Gold Medal,1,2021-08-29 00:00:00.0,YAN S,YAN Shuo,M,../../../en/results/table-tennis/athlete-profile-n1642608-yan-shuo.htm,Men's Singles - Class 7,People's Republic of China,CHN,Table Tennis,TTE
Silver Medal,2,2021-08-29 00:00:00.0,BAYLEY W,BAYLEY William,M,../../../en/results/table-tennis/athlete-profile-n1698412-bayley-william.htm,Men's Singles - Class 7,Great Britain,GBR,Table Tennis,TTE
Gold Medal,1,2021-08-29 00:00:00.0,XUE J,XUE Juan,W,../../../en/results/table-tennis/athlete-profile-n1643267-xue-juan.htm,Women's Singles - Class 3,People's Republic of China,CHN,Table Tennis,TTE
Silver Medal,2,2021-08-29 00:00:00.0,KANOVA A,KANOVA Alena,W,../../../en/results/table-tennis/athlete-profile-n1720074-kanova-alena.htm,Women's Singles - Class 3,Slovakia,SVK,Table Tennis,TTE
Gold Medal,1,2021-08-29 00:00:00.0,ZHOU Y,ZHOU Ying,W,../../../en/results/table-tennis/athlete-profile-n1643277-zhou-ying.htm,Women's Singles - Class 4,People's Republic of China,CHN,Table Tennis,TTE
Silver Medal,2,2021-08-29 00:00:00.0,PATEL BH,PATEL Bhavinaben Hasmukhbhai,W,../../../en/results/table-tennis/athlete-profile-n1711800-patel-bhavinaben-hasmukhbhai.htm,Women's Singles - Class 4,India,IND,Table Tennis,TTE
Gold Medal,1,2021-08-29 00:00:00.0,ZHANG B,ZHANG Bian,W,../../../en/results/table-tennis/athlete-profile-n1643561-zhang-bian.htm,Women's Singles - Class 5,People's Republic of China,CHN,Table Tennis,TTE
Silver Medal,2,2021-08-29 00:00:00.0,PAN J,PAN Jiamin,W,../../../en/results/table-tennis/athlete-profile-n1711336-pan-jiamin.htm,Women's Singles - Class 5,People's Republic of China,CHN,Table Tennis,TTE
Gold Medal,1,2021-08-29 00:00:00.0,MAO J,MAO Jingdian,W,../../../en/results/table-tennis/athlete-profile-n1643617-mao-jingdian.htm,Women's Singles - Class 8,People's Republic of China,CHN,Table Tennis,TTE
Silver Medal,2,2021-08-29 00:00:00.0,HUANG W,HUANG Wenjuan,W,../../../en/results/table-tennis/athlete-profile-n1711338-huang-wenjuan.htm,Women's Singles - Class 8,People's Republic of China,CHN,Table Tennis,TTE
Gold Medal,1,2021-08-29 00:00:00.0,SCHULZ M,SCHULZ Martin,M,../../../en/results/triathlon/athlete-profile-n1400047-schulz-martin.htm,Men's PTS5,Germany,GER,Triathlon,TRI
Silver Medal,2,2021-08-29 00:00:00.0,PEASGOOD G,PEASGOOD George,M,../../../en/results/triathlon/athlete-profile-n1711022-peasgood-george.htm,Men's PTS5,Great Britain,GBR,Triathlon,TRI
Bronze Medal,3,2021-08-29 00:00:00.0,DANIEL S,DANIEL Stefan,M,../../../en/results/triathlon/athlete-profile-n1553161-daniel-stefan.htm,Men's PTS5,Canada,CAN,Triathlon,TRI
Gold Medal,1,2021-08-29 00:00:00.0,PLAT J,PLAT Jetze,M,../../../en/results/triathlon/athlete-profile-n1708671-plat-jetze.htm,Men's PTWC,Netherlands,NED,Triathlon,TRI
Silver Medal,2,2021-08-29 00:00:00.0,BRUNGRABER F,BRUNGRABER Florian,M,../../../en/results/triathlon/athlete-profile-n1341681-brungraber-florian.htm,Men's PTWC,Austria,AUT,Triathlon,TRI
Bronze Medal,3,2021-08-29 00:00:00.0,ACHENZA G,ACHENZA Giovanni,M,../../../en/results/triathlon/athlete-profile-n1615046-achenza-giovanni.htm,Men's PTWC,Italy,ITA,Triathlon,TRI
Gold Medal,1,2021-08-29 00:00:00.0,STEADMAN L,STEADMAN Lauren,W,../../../en/results/triathlon/athlete-profile-n1711023-steadman-lauren.htm,Women's PTS5,Great Britain,GBR,Triathlon,TRI
Silver Medal,2,2021-08-29 00:00:00.0,NORMAN G,NORMAN Grace,W,../../../en/results/triathlon/athlete-profile-n1690524-norman-grace.htm,Women's PTS5,United States of America,USA,Triathlon,TRI
Bronze Medal,3,2021-08-29 00:00:00.0,CASHMORE C,CASHMORE Claire,W,../../../en/results/triathlon/athlete-profile-n1711021-cashmore-claire.htm,Women's PTS5,Great Britain,GBR,Triathlon,TRI
Gold Medal,1,2021-08-29 00:00:00.0,GRETSCH K,GRETSCH Kendall,W,../../../en/results/triathlon/athlete-profile-n1717644-gretsch-kendall.htm,Women's PTWC,United States of America,USA,Triathlon,TRI
Silver Medal,2,2021-08-29 00:00:00.0,PARKER L,PARKER Lauren,W,../../../en/results/triathlon/athlete-profile-n1404416-parker-lauren.htm,Women's PTWC,Australia,AUS,Triathlon,TRI
Bronze Medal,3,2021-08-29 00:00:00.0,MORAL PEDRERO EM,MORAL PEDRERO Eva Maria,W,../../../en/results/triathlon/athlete-profile-n1449075-moral-pedrero-eva-maria.htm,Women's PTWC,Spain,ESP,Triathlon,TRI
Gold Medal,1,2021-08-29 00:00:00.0,SUN G,SUN Gang,M,../../../en/results/wheelchair-fencing/athlete-profile-n1643083-sun-gang.htm,Men's Foil Team,People's Republic of China,CHN,Wheelchair Fencing,WFE
Gold Medal,1,2021-08-29 00:00:00.0,HU D,HU Daoliang,M,../../../en/results/wheelchair-fencing/athlete-profile-n1643552-hu-daoliang.htm,Men's Foil Team,People's Republic of China,CHN,Wheelchair Fencing,WFE
Gold Medal,1,2021-08-29 00:00:00.0,LI H,LI Hao,M,../../../en/results/wheelchair-fencing/athlete-profile-n1643675-li-hao.htm,Men's Foil Team,People's Republic of China,CHN,Wheelchair Fencing,WFE
Silver Medal,2,2021-08-29 00:00:00.0,COUTYA D,COUTYA Dimitri,M,../../../en/results/wheelchair-fencing/athlete-profile-n1705741-coutya-dimitri.htm,Men's Foil Team,Great Britain,GBR,Wheelchair Fencing,WFE
Silver Medal,2,2021-08-29 00:00:00.0,GILLIVER P,GILLIVER Piers,M,../../../en/results/wheelchair-fencing/athlete-profile-n1705742-gilliver-piers.htm,Men's Foil Team,Great Britain,GBR,Wheelchair Fencing,WFE
Silver Medal,2,2021-08-29 00:00:00.0,LAM-WATSON O,LAM-WATSON Oliver,M,../../../en/results/wheelchair-fencing/athlete-profile-n1705743-lam-watson-oliver.htm,Men's Foil Team,Great Britain,GBR,Wheelchair Fencing,WFE
Bronze Medal,3,2021-08-29 00:00:00.0,VALET M,VALET Maxime,M,../../../en/results/wheelchair-fencing/athlete-profile-n1358056-valet-maxime.htm,Men's Foil Team,France,FRA,Wheelchair Fencing,WFE
Bronze Medal,3,2021-08-29 00:00:00.0,TOKATLIAN D,TOKATLIAN Damien,M,../../../en/results/wheelchair-fencing/athlete-profile-n1358057-tokatlian-damien.htm,Men's Foil Team,France,FRA,Wheelchair Fencing,WFE
Bronze Medal,3,2021-08-29 00:00:00.0,NOBLE R,NOBLE Romain,M,../../../en/results/wheelchair-fencing/athlete-profile-n1358065-noble-romain.htm,Men's Foil Team,France,FRA,Wheelchair Fencing,WFE
Gold Medal,1,2021-08-29 00:00:00.0,RONG J,RONG Jing,W,../../../en/results/wheelchair-fencing/athlete-profile-n1643576-rong-jing.htm,Women's Foil Team,People's Republic of China,CHN,Wheelchair Fencing,WFE
Gold Medal,1,2021-08-29 00:00:00.0,GU H,GU Haiyan,W,../../../en/results/wheelchair-fencing/athlete-profile-n1650659-gu-haiyan.htm,Women's Foil Team,People's Republic of China,CHN,Wheelchair Fencing,WFE
Gold Medal,1,2021-08-29 00:00:00.0,ZHOU J,ZHOU Jingjing,W,../../../en/results/wheelchair-fencing/athlete-profile-n1650664-zhou-jingjing.htm,Women's Foil Team,People's Republic of China,CHN,Wheelchair Fencing,WFE
Silver Medal,2,2021-08-29 00:00:00.0,MOGOS IA,MOGOS Ionela Andreea,W,../../../en/results/wheelchair-fencing/athlete-profile-n1649563-mogos-ionela-andreea.htm,Women's Foil Team,Italy,ITA,Wheelchair Fencing,WFE
Silver Medal,2,2021-08-29 00:00:00.0,TRIGILIA L,TRIGILIA Loredana,W,../../../en/results/wheelchair-fencing/athlete-profile-n1649568-trigilia-loredana.htm,Women's Foil Team,Italy,ITA,Wheelchair Fencing,WFE
Silver Medal,2,2021-08-29 00:00:00.0,VIO BM,VIO Beatrice Maria,W,../../../en/results/wheelchair-fencing/athlete-profile-n1649569-vio-beatrice-maria.htm,Women's Foil Team,Italy,ITA,Wheelchair Fencing,WFE
Bronze Medal,3,2021-08-29 00:00:00.0,DANI G,DANI Gyongyi,W,../../../en/results/wheelchair-fencing/athlete-profile-n1728664-dani-gyongyi.htm,Women's Foil Team,Hungary,HUN,Wheelchair Fencing,WFE
Bronze Medal,3,2021-08-29 00:00:00.0,HAJMASI EA,HAJMASI Eva Andrea,W,../../../en/results/wheelchair-fencing/athlete-profile-n1728665-hajmasi-eva-andrea.htm,Women's Foil Team,Hungary,HUN,Wheelchair Fencing,WFE
Bronze Medal,3,2021-08-29 00:00:00.0,KRAJNYAK Z,KRAJNYAK Zsuzsanna,W,../../../en/results/wheelchair-fencing/athlete-profile-n1728669-krajnyak-zsuzsanna.htm,Women's Foil Team,Hungary,HUN,Wheelchair Fencing,WFE
Gold Medal,1,2021-08-29 00:00:00.0,ROBINSON S,ROBINSON Stuart,O,../../../en/results/wheelchair-rugby/athlete-profile-n1710709-robinson-stuart.htm,Mixed,Great Britain,GBR,Wheelchair Rugby,WRU
Gold Medal,1,2021-08-29 00:00:00.0,SMITH J,SMITH Jack,O,../../../en/results/wheelchair-rugby/athlete-profile-n1710710-smith-jack.htm,Mixed,Great Britain,GBR,Wheelchair Rugby,WRU
Gold Medal,1,2021-08-29 00:00:00.0,ROBERTS J,ROBERTS Jim,O,../../../en/results/wheelchair-rugby/athlete-profile-n1710702-roberts-jim.htm,Mixed,Great Britain,GBR,Wheelchair Rugby,WRU
Gold Medal,1,2021-08-29 00:00:00.0,CUMMINS N,CUMMINS Nicholas,O,../../../en/results/wheelchair-rugby/athlete-profile-n1710703-cummins-nicholas.htm,Mixed,Great Britain,GBR,Wheelchair Rugby,WRU
Gold Medal,1,2021-08-29 00:00:00.0,COWLING R,COWLING Ryan,O,../../../en/results/wheelchair-rugby/athlete-profile-n1710704-cowling-ryan.htm,Mixed,Great Britain,GBR,Wheelchair Rugby,WRU
Gold Medal,1,2021-08-29 00:00:00.0,GRIMES K,GRIMES Kylie,O,../../../en/results/wheelchair-rugby/athlete-profile-n1710706-grimes-kylie.htm,Mixed,Great Britain,GBR,Wheelchair Rugby,WRU
Gold Medal,1,2021-08-29 00:00:00.0,RYAN C,RYAN Chris,O,../../../en/results/wheelchair-rugby/athlete-profile-n1710707-ryan-chris.htm,Mixed,Great Britain,GBR,Wheelchair Rugby,WRU
Gold Medal,1,2021-08-29 00:00:00.0,PHIPPS A,PHIPPS Aaron,O,../../../en/results/wheelchair-rugby/athlete-profile-n1710708-phipps-aaron.htm,Mixed,Great Britain,GBR,Wheelchair Rugby,WRU
Gold Medal,1,2021-08-29 00:00:00.0,COGGAN J,COGGAN Jonathan,O,../../../en/results/wheelchair-rugby/athlete-profile-n1710698-coggan-jonathan.htm,Mixed,Great Britain,GBR,Wheelchair Rugby,WRU
Gold Medal,1,2021-08-29 00:00:00.0,STEAD J,STEAD Jamie,O,../../../en/results/wheelchair-rugby/athlete-profile-n1710699-stead-jamie.htm,Mixed,Great Britain,GBR,Wheelchair Rugby,WRU
Gold Medal,1,2021-08-29 00:00:00.0,WALKER G,WALKER Gavin,O,../../../en/results/wheelchair-rugby/athlete-profile-n1710700-walker-gavin.htm,Mixed,Great Britain,GBR,Wheelchair Rugby,WRU
Gold Medal,1,2021-08-29 00:00:00.0,BHUTA A,BHUTA Ayaz,O,../../../en/results/wheelchair-rugby/athlete-profile-n1710701-bhuta-ayaz.htm,Mixed,Great Britain,GBR,Wheelchair Rugby,WRU
Silver Medal,2,2021-08-29 00:00:00.0,MELTON C,MELTON Charles,O,../../../en/results/wheelchair-rugby/athlete-profile-n1691772-melton-charles.htm,Mixed,United States of America,USA,Wheelchair Rugby,WRU
Silver Medal,2,2021-08-29 00:00:00.0,NEWBY E,NEWBY Eric,O,../../../en/results/wheelchair-rugby/athlete-profile-n1691775-newby-eric.htm,Mixed,United States of America,USA,Wheelchair Rugby,WRU
Silver Medal,2,2021-08-29 00:00:00.0,BUTLER J,BUTLER Jeff,O,../../../en/results/wheelchair-rugby/athlete-profile-n1691779-butler-jeff.htm,Mixed,United States of America,USA,Wheelchair Rugby,WRU
Silver Medal,2,2021-08-29 00:00:00.0,DELAGRAVE J,DELAGRAVE Joseph,O,../../../en/results/wheelchair-rugby/athlete-profile-n1691781-delagrave-joseph.htm,Mixed,United States of America,USA,Wheelchair Rugby,WRU
Silver Medal,2,2021-08-29 00:00:00.0,JACKSON J,JACKSON Joe,O,../../../en/results/wheelchair-rugby/athlete-profile-n1691782-jackson-joe.htm,Mixed,United States of America,USA,Wheelchair Rugby,WRU
Silver Medal,2,2021-08-29 00:00:00.0,WHEELER J,WHEELER Joshua,O,../../../en/results/wheelchair-rugby/athlete-profile-n1691783-wheeler-joshua.htm,Mixed,United States of America,USA,Wheelchair Rugby,WRU
Silver Medal,2,2021-08-29 00:00:00.0,FREDETTE L,FREDETTE Lee,O,../../../en/results/wheelchair-rugby/athlete-profile-n1691785-fredette-lee.htm,Mixed,United States of America,USA,Wheelchair Rugby,WRU
Silver Medal,2,2021-08-29 00:00:00.0,HENNAGIR R,HENNAGIR Ray,O,../../../en/results/wheelchair-rugby/athlete-profile-n1691789-hennagir-ray.htm,Mixed,United States of America,USA,Wheelchair Rugby,WRU
Silver Medal,2,2021-08-29 00:00:00.0,PUDERBAUGH K,PUDERBAUGH Kory,O,../../../en/results/wheelchair-rugby/athlete-profile-n1717645-puderbaugh-kory.htm,Mixed,United States of America,USA,Wheelchair Rugby,WRU
Silver Medal,2,2021-08-29 00:00:00.0,SCATURRO A,SCATURRO Adam,O,../../../en/results/wheelchair-rugby/athlete-profile-n1691769-scaturro-adam.htm,Mixed,United States of America,USA,Wheelchair Rugby,WRU
Silver Medal,2,2021-08-29 00:00:00.0,COHN C,COHN Chad,O,../../../en/results/wheelchair-rugby/athlete-profile-n1691770-cohn-chad.htm,Mixed,United States of America,USA,Wheelchair Rugby,WRU
Silver Medal,2,2021-08-29 00:00:00.0,AOKI C,AOKI Charles,O,../../../en/results/wheelchair-rugby/athlete-profile-n1691771-aoki-charles.htm,Mixed,United States of America,USA,Wheelchair Rugby,WRU
Bronze Medal,3,2021-08-29 00:00:00.0,OGAWA H,OGAWA Hitoshi,O,../../../en/results/wheelchair-rugby/athlete-profile-n1687384-ogawa-hitoshi.htm,Mixed,Japan,JPN,Wheelchair Rugby,WRU
Bronze Medal,3,2021-08-29 00:00:00.0,KURAHASHI K,KURAHASHI Kae,O,../../../en/results/wheelchair-rugby/athlete-profile-n1687387-kurahashi-kae.htm,Mixed,Japan,JPN,Wheelchair Rugby,WRU
Bronze Medal,3,2021-08-29 00:00:00.0,SHIMAKAWA S,SHIMAKAWA Shinichi,O,../../../en/results/wheelchair-rugby/athlete-profile-n1687388-shimakawa-shinichi.htm,Mixed,Japan,JPN,Wheelchair Rugby,WRU
Bronze Medal,3,2021-08-29 00:00:00.0,NAKAMACHI S,NAKAMACHI Shunya,O,../../../en/results/wheelchair-rugby/athlete-profile-n1687389-nakamachi-shunya.htm,Mixed,Japan,JPN,Wheelchair Rugby,WRU
Bronze Medal,3,2021-08-29 00:00:00.0,NORIMATSU S,NORIMATSU Seiya,O,../../../en/results/wheelchair-rugby/athlete-profile-n1687390-norimatsu-seiya.htm,Mixed,Japan,JPN,Wheelchair Rugby,WRU
Bronze Medal,3,2021-08-29 00:00:00.0,HAGA M,HAGA Masayuki,O,../../../en/results/wheelchair-rugby/athlete-profile-n1687392-haga-masayuki.htm,Mixed,Japan,JPN,Wheelchair Rugby,WRU
Bronze Medal,3,2021-08-29 00:00:00.0,IKE Y,IKE Yukinobu,O,../../../en/results/wheelchair-rugby/athlete-profile-n1687380-ike-yukinobu.htm,Mixed,Japan,JPN,Wheelchair Rugby,WRU
Bronze Medal,3,2021-08-29 00:00:00.0,IKEZAKI D,IKEZAKI Daisuke,O,../../../en/results/wheelchair-rugby/athlete-profile-n1687382-ikezaki-daisuke.htm,Mixed,Japan,JPN,Wheelchair Rugby,WRU
Bronze Medal,3,2021-08-29 00:00:00.0,IMAI T,IMAI Tomoaki,O,../../../en/results/wheelchair-rugby/athlete-profile-n1687383-imai-tomoaki.htm,Mixed,Japan,JPN,Wheelchair Rugby,WRU
Bronze Medal,3,2021-08-29 00:00:00.0,HASHIMOTO K,HASHIMOTO Katsuya,O,../../../en/results/wheelchair-rugby/athlete-profile-n1687393-hashimoto-katsuya.htm,Mixed,Japan,JPN,Wheelchair Rugby,WRU
Bronze Medal,3,2021-08-29 00:00:00.0,HASEGAWA Y,HASEGAWA Yuki,O,../../../en/results/wheelchair-rugby/athlete-profile-n1687394-hasegawa-yuki.htm,Mixed,Japan,JPN,Wheelchair Rugby,WRU
Bronze Medal,3,2021-08-29 00:00:00.0,WAKAYAMA H,WAKAYAMA Hidefumi,O,../../../en/results/wheelchair-rugby/athlete-profile-n1687395-wakayama-hidefumi.htm,Mixed,Japan,JPN,Wheelchair Rugby,WRU
Gold Medal,1,2021-08-30 00:00:00.0,DRAHONINSKY D,DRAHONINSKY David,M,../../../en/results/archery/athlete-profile-n1406047-drahoninsky-david.htm,Men's Individual - W1,Czech Republic,CZE,Archery,ARC
Silver Medal,2,2021-08-30 00:00:00.0,TURKMENOGLU N,TURKMENOGLU Nihat,M,../../../en/results/archery/athlete-profile-n1729548-turkmenoglu-nihat.htm,Men's Individual - W1,Turkey,TUR,Archery,ARC
Bronze Medal,3,2021-08-30 00:00:00.0,HEKIMOGLU B,HEKIMOGLU Bahattin,M,../../../en/results/archery/athlete-profile-n1729534-hekimoglu-bahattin.htm,Men's Individual - W1,Turkey,TUR,Archery,ARC
Gold Medal,1,2021-08-30 00:00:00.0,PATERSON PINE P,PATERSON PINE Phoebe,W,../../../en/results/archery/athlete-profile-n1716772-paterson-pine-phoebe.htm,Women's Individual Compound - Open,Great Britain,GBR,Archery,ARC
Silver Medal,2,2021-08-30 00:00:00.0,ZUNIGA VARELA M,ZUNIGA VARELA Mariana,W,../../../en/results/archery/athlete-profile-n1307557-zuniga-varela-mariana.htm,Women's Individual Compound - Open,Chile,CHI,Archery,ARC
Bronze Medal,3,2021-08-30 00:00:00.0,VIRGILIO MA,VIRGILIO Maria Andrea,W,../../../en/results/archery/athlete-profile-n1543477-virgilio-maria-andrea.htm,Women's Individual Compound - Open,Italy,ITA,Archery,ARC
Gold Medal,1,2021-08-30 00:00:00.0,SMALL A,SMALL Andrew,M,../../../en/results/athletics/athlete-profile-n1727799-small-andrew.htm,Men's 100m - T33,Great Britain,GBR,Athletics,ATH
Silver Medal,2,2021-08-30 00:00:00.0,ALMUTAIRI A,ALMUTAIRI Ahmad,M,../../../en/results/athletics/athlete-profile-n1396340-almutairi-ahmad.htm,Men's 100m - T33,Kuwait,KUW,Athletics,ATH
Bronze Medal,3,2021-08-30 00:00:00.0,JENKINS H,JENKINS Harri,M,../../../en/results/athletics/athlete-profile-n1727814-jenkins-harri.htm,Men's 100m - T33,Great Britain,GBR,Athletics,ATH
Gold Medal,1,2021-08-30 00:00:00.0,KTILA W,KTILA Walid,M,../../../en/results/athletics/athlete-profile-n1475810-ktila-walid.htm,Men's 100m - T34,Tunisia,TUN,Athletics,ATH
Silver Medal,2,2021-08-30 00:00:00.0,McCRACKEN R,McCRACKEN Rheed,M,../../../en/results/athletics/athlete-profile-n1416009-mccracken-rheed.htm,Men's 100m - T34,Australia,AUS,Athletics,ATH
Bronze Medal,3,2021-08-30 00:00:00.0,ALHAMMADI M,ALHAMMADI Mohamed,M,../../../en/results/athletics/athlete-profile-n1307113-alhammadi-mohamed.htm,Men's 100m - T34,United Arab Emirates,UAE,Athletics,ATH
Gold Medal,1,2021-08-30 00:00:00.0,SAFRONOV D,SAFRONOV Dmitrii,M,../../../en/results/athletics/athlete-profile-n1353704-safronov-dmitrii.htm,Men's 100m - T35,RPC,RPC,Athletics,ATH
Silver Medal,2,2021-08-30 00:00:00.0,TSVIETOV I,TSVIETOV Ihor,M,../../../en/results/athletics/athlete-profile-n1311744-tsvietov-ihor.htm,Men's 100m - T35,Ukraine,UKR,Athletics,ATH
Bronze Medal,3,2021-08-30 00:00:00.0,KALASHIAN A,KALASHIAN Artem,M,../../../en/results/athletics/athlete-profile-n1353687-kalashian-artem.htm,Men's 100m - T35,RPC,RPC,Athletics,ATH
Gold Medal,1,2021-08-30 00:00:00.0,PROKHOROV A,PROKHOROV Anton,M,../../../en/results/athletics/athlete-profile-n1353701-prokhorov-anton.htm,Men's 100m - T63,RPC,RPC,Athletics,ATH
Silver Medal,2,2021-08-30 00:00:00.0,GONCALVES RODRIGU.,GONCALVES RODRIGUES Vinicius,M,../../../en/results/athletics/athlete-profile-n1361190-goncalves-rodrigues-vinicius.htm,Men's 100m - T63,Brazil,BRA,Athletics,ATH
Bronze Medal,3,2021-08-30 00:00:00.0,SCHAEFER L,SCHAEFER Leon,M,../../../en/results/athletics/athlete-profile-n1548468-schaefer-leon.htm,Men's 100m - T63,Germany,GER,Athletics,ATH
Gold Medal,1,2021-08-30 00:00:00.0,STRENG F,STRENG Felix,M,../../../en/results/athletics/athlete-profile-n1517908-streng-felix.htm,Men's 100m - T64,Germany,GER,Athletics,ATH
Silver Medal,2,2021-08-30 00:00:00.0,GUITY GUITY SI,GUITY GUITY Sherman Isidro,M,../../../en/results/athletics/athlete-profile-n1711075-guity-guity-sherman-isidro.htm,Men's 100m - T64,Costa Rica,CRC,Athletics,ATH
Bronze Medal,3,2021-08-30 00:00:00.0,PEACOCK J,PEACOCK Jonnie,M,../../../en/results/athletics/athlete-profile-n1727793-peacock-jonnie.htm,Men's 100m - T64,Great Britain,GBR,Athletics,ATH
Bronze Medal,3,2021-08-30 00:00:00.0,FLOORS J,FLOORS Johannes,M,../../../en/results/athletics/athlete-profile-n1395777-floors-johannes.htm,Men's 100m - T64,Germany,GER,Athletics,ATH
Gold Medal,1,2021-08-30 00:00:00.0,BATISTA dos SANTOS,BATISTA dos SANTOS Claudiney,M,../../../en/results/athletics/athlete-profile-n1361161-batista-dos-santos-claudiney.htm,Men's Discus Throw - F56,Brazil,BRA,Athletics,ATH
Silver Medal,2,2021-08-30 00:00:00.0,KATHUNIYA Y,KATHUNIYA Yogesh,M,../../../en/results/athletics/athlete-profile-n1590016-kathuniya-yogesh.htm,Men's Discus Throw - F56,India,IND,Athletics,ATH
Bronze Medal,3,2021-08-30 00:00:00.0,DIAZ ALDANA L,DIAZ ALDANA Leonardo,M,../../../en/results/athletics/athlete-profile-n1326231-diaz-aldana-leonardo.htm,Men's Discus Throw - F56,Cuba,CUB,Athletics,ATH
Gold Medal,1,2021-08-30 00:00:00.0,HERATH MUDIYANSEL.,HERATH MUDIYANSELAGE Dinesh Priyan.,M,../../../en/results/athletics/athlete-profile-n1578722-herath-mudiyanselage-dinesh-priyan-.htm,Men's Javelin Throw - F46,Sri Lanka,SRI,Athletics,ATH
Silver Medal,2,2021-08-30 00:00:00.0,DEVENDRA,DEVENDRA,M,../../../en/results/athletics/athlete-profile-n1345186-devendra.htm,Men's Javelin Throw - F46,India,IND,Athletics,ATH
