Athlete Name,First Game,Sport,Sport Event,Medal Won,Home Country,Host Country,Game Name,Game Season,Year
Isabella Mary WHITE,Stockholm 1912,Diving,10m platform women,BRONZE,Great Britain,Sweden,Stockholm 1912,Summer,1912
Tor HENNING,Stockholm 1912,Swimming,400m breaststroke men,SILVER,Sweden,Sweden,Stockholm 1912,Summer,1912
Juho Julius SAARISTO,Stockholm 1912,Athletics,javelin throw men,SILVER,Finland,Sweden,Stockholm 1912,Summer,1912
Erik ALMLÖF,Stockholm 1912,Athletics,triple jump men,BRONZE,Sweden,Sweden,Stockholm 1912,Summer,1912
Gösta HOLMER,Stockholm 1912,Athletics,decathlon men,BRONZE,Sweden,Sweden,Stockholm 1912,Summer,1912
Emmanuel DE BLOMMAERT DE SOYE,Stockholm 1912,Equestrian Jumping,individual mixed,BRONZE,Belgium,Sweden,Stockholm 1912,Summer,1912
Nedo NADI,Stockholm 1912,Fencing,foil individual men,GOLD,Italy,Sweden,Stockholm 1912,Summer,1912
Alfred P. LANE,Stockholm 1912,Shooting,50m pistol 60 shots men,GOLD,United States of America,Sweden,Stockholm 1912,Summer,1912
Frederick S. HIRD,Stockholm 1912,Shooting,50m rifle prone 60 shots men,GOLD,United States of America,Sweden,Stockholm 1912,Summer,1912
Eemil Ernesti VÄRE,Stockholm 1912,Wrestling,"Lightweight, Greco-Roman (≤67.5 kilograms) Men",GOLD,Finland,Sweden,Stockholm 1912,Summer,1912
Gustaf BLOMGREN,Stockholm 1912,Diving,10m platform men,BRONZE,Sweden,Sweden,Stockholm 1912,Summer,1912
Charles Lyndhurst WINSLOW,Stockholm 1912,Tennis,Singles men,GOLD,South Africa,Sweden,Stockholm 1912,Summer,1912
André Henri GOBERT,Stockholm 1912,Tennis,singles indoor men,GOLD,France,Sweden,Stockholm 1912,Summer,1912
Anthony Frederick WILDING,Stockholm 1912,Tennis,singles indoor men,BRONZE,Australasia,Sweden,Stockholm 1912,Summer,1912
Marguerite BROQUEDIS,Stockholm 1912,Tennis,Singles women,GOLD,France,Sweden,Stockholm 1912,Summer,1912
Dora KÖRING,Stockholm 1912,Tennis,Singles women,SILVER,Germany,Sweden,Stockholm 1912,Summer,1912
Edith Margaret HANNAM,Stockholm 1912,Tennis,singles indoor women,GOLD,Great Britain,Sweden,Stockholm 1912,Summer,1912
Thora Gerda Sophie CASTENSCHIOLD,Stockholm 1912,Tennis,singles indoor women,SILVER,Denmark,Sweden,Stockholm 1912,Summer,1912
Mabel Branwell PARTON,Stockholm 1912,Tennis,singles indoor women,BRONZE,Great Britain,Sweden,Stockholm 1912,Summer,1912
Ralph CRAIG,Stockholm 1912,Athletics,200m men,GOLD,United States of America,Sweden,Stockholm 1912,Summer,1912
Donald LIPPINCOTT,Stockholm 1912,Athletics,200m men,SILVER,United States of America,Sweden,Stockholm 1912,Summer,1912
William APPLEGARTH,Stockholm 1912,Athletics,200m men,BRONZE,Great Britain,Sweden,Stockholm 1912,Summer,1912
Charles Decker REIDPATH,Stockholm 1912,Athletics,400m men,GOLD,United States of America,Sweden,Stockholm 1912,Summer,1912
Hjalmar ANDERSSON,Stockholm 1912,Athletics,cross country individual men,SILVER,Sweden,Sweden,Stockholm 1912,Summer,1912
John EKE,Stockholm 1912,Athletics,cross country individual men,BRONZE,Sweden,Sweden,Stockholm 1912,Summer,1912
George William HUTSON,Stockholm 1912,Athletics,5000m men,BRONZE,Great Britain,Sweden,Stockholm 1912,Summer,1912
Norman TABER,Stockholm 1912,Athletics,1500m men,BRONZE,United States of America,Sweden,Stockholm 1912,Summer,1912
Väinö SIIKANIEMI,Stockholm 1912,Athletics,javelin throw both hands men,SILVER,Finland,Sweden,Stockholm 1912,Summer,1912
Gustav LINDBLOM,Stockholm 1912,Athletics,triple jump men,GOLD,Sweden,Sweden,Stockholm 1912,Summer,1912
Georg ABERG,Stockholm 1912,Athletics,triple jump men,SILVER,Sweden,Sweden,Stockholm 1912,Summer,1912
Benjamin W. ADAMS,Stockholm 1912,Athletics,high jump standing men,SILVER,United States of America,Sweden,Stockholm 1912,Summer,1912
Harry Stoddard BABCOCK,Stockholm 1912,Athletics,pole vault men,GOLD,United States of America,Sweden,Stockholm 1912,Summer,1912
Albert Lovejoy GUTTERSON,Stockholm 1912,Athletics,long jump men,GOLD,United States of America,Sweden,Stockholm 1912,Summer,1912
Jim THORPE,Stockholm 1912,Athletics,decathlon men,GOLD,United States of America,Sweden,Stockholm 1912,Summer,1912
Ted MEREDITH,Stockholm 1912,Athletics,800m men,GOLD,United States of America,Sweden,Stockholm 1912,Summer,1912
Arnold JACKSON,Stockholm 1912,Athletics,1500m men,GOLD,Great Britain,Sweden,Stockholm 1912,Summer,1912
Abel KIVIAT,Stockholm 1912,Athletics,1500m men,SILVER,United States of America,Sweden,Stockholm 1912,Summer,1912
Duncan GILLIS,Stockholm 1912,Athletics,hammer throw men,SILVER,Canada,Sweden,Stockholm 1912,Summer,1912
Clarence Chester CHILDS,Stockholm 1912,Athletics,hammer throw men,BRONZE,United States of America,Sweden,Stockholm 1912,Summer,1912
I. Alvah MEYER,Stockholm 1912,Athletics,100m men,SILVER,United States of America,Sweden,Stockholm 1912,Summer,1912
James WENDELL,Stockholm 1912,Athletics,110m hurdles men,SILVER,United States of America,Sweden,Stockholm 1912,Summer,1912
Martin HAWKINS,Stockholm 1912,Athletics,110m hurdles men,BRONZE,United States of America,Sweden,Stockholm 1912,Summer,1912
Laurence Atwood WHITNEY,Stockholm 1912,Athletics,shot put men,BRONZE,United States of America,Sweden,Stockholm 1912,Summer,1912
Emil MAGNUSSON,Stockholm 1912,Athletics,discus throw both hands men,BRONZE,Sweden,Sweden,Stockholm 1912,Summer,1912
Charles LOMBERG,Stockholm 1912,Athletics,decathlon men,SILVER,Sweden,Sweden,Stockholm 1912,Summer,1912
Ferdinand Reinhardt BIE,Stockholm 1912,Athletics,pentathlon men,GOLD,Norway,Sweden,Stockholm 1912,Summer,1912
Alma Wilfred RICHARDS,Stockholm 1912,Athletics,high jump men,GOLD,United States of America,Sweden,Stockholm 1912,Summer,1912
Hans LIESCHE,Stockholm 1912,Athletics,high jump men,SILVER,Germany,Sweden,Stockholm 1912,Summer,1912
George Leslie HORINE,Stockholm 1912,Athletics,high jump men,BRONZE,United States of America,Sweden,Stockholm 1912,Summer,1912
Richard Leslie BYRD,Stockholm 1912,Athletics,discus throw men,SILVER,United States of America,Sweden,Stockholm 1912,Summer,1912
Ira Nelson DAVENPORT,Stockholm 1912,Athletics,800m men,BRONZE,United States of America,Sweden,Stockholm 1912,Summer,1912
Frank Thayer NELSON,Stockholm 1912,Athletics,pole vault men,SILVER,United States of America,Sweden,Stockholm 1912,Summer,1912
Marc Snowell WRIGHT,Stockholm 1912,Athletics,pole vault men,SILVER,United States of America,Sweden,Stockholm 1912,Summer,1912
Frank Dwyer MURPHY,Stockholm 1912,Athletics,pole vault men,BRONZE,United States of America,Sweden,Stockholm 1912,Summer,1912
James Henry DUNCAN,Stockholm 1912,Athletics,discus throw men,BRONZE,United States of America,Sweden,Stockholm 1912,Summer,1912
Gaston STROBINO,Stockholm 1912,Athletics,marathon men,BRONZE,United States of America,Sweden,Stockholm 1912,Summer,1912
Paul GÜNTHER,Stockholm 1912,Diving,3m springboard men,GOLD,Germany,Sweden,Stockholm 1912,Summer,1912
Greta JOHANSSON,Stockholm 1912,Diving,10m platform women,GOLD,Sweden,Sweden,Stockholm 1912,Summer,1912
Lisa REGNELL,Stockholm 1912,Diving,10m platform women,SILVER,Sweden,Sweden,Stockholm 1912,Summer,1912
Hans LUBER,Stockholm 1912,Diving,3m springboard men,SILVER,Germany,Sweden,Stockholm 1912,Summer,1912
Axel NORDLANDER,Stockholm 1912,Equestrian Eventing,individual mixed,GOLD,Sweden,Sweden,Stockholm 1912,Summer,1912
Friedrich Leopold Harry VON ROCHOW,Stockholm 1912,Equestrian Eventing,individual mixed,SILVER,Germany,Sweden,Stockholm 1912,Summer,1912
Anders AHLGREN,Stockholm 1912,Wrestling,"Middleweight B, Greco-Roman (≤82.5 kilograms) Men",SILVER,Sweden,Sweden,Stockholm 1912,Summer,1912
Ivar Theodor BÖHLING,Stockholm 1912,Wrestling,"Middleweight B, Greco-Roman (≤82.5 kilograms) Men",SILVER,Finland,Sweden,Stockholm 1912,Summer,1912
Kaarlo KOSKELO,Stockholm 1912,Wrestling,"Featherweight, Greco-Roman (≤60 kilograms) Men",GOLD,Finland,Sweden,Stockholm 1912,Summer,1912
Georg GERSTÄCKER,Stockholm 1912,Wrestling,"Featherweight, Greco-Roman (≤60 kilograms) Men",SILVER,Germany,Sweden,Stockholm 1912,Summer,1912
Otto LASANEN,Stockholm 1912,Wrestling,"Featherweight, Greco-Roman (≤60 kilograms) Men",BRONZE,Finland,Sweden,Stockholm 1912,Summer,1912
Johan Fredrik OLIN,Stockholm 1912,Wrestling,"Heavyweight, Greco-Roman (>82.5 kilograms) Men",SILVER,Finland,Sweden,Stockholm 1912,Summer,1912
Martin KLEIN,Stockholm 1912,Wrestling,"Middleweight A, Greco-Roman (≤75 kilograms) Men",SILVER,Russian Federation,Sweden,Stockholm 1912,Summer,1912
Alfred ASIKAINEN,Stockholm 1912,Wrestling,"Middleweight A, Greco-Roman (≤75 kilograms) Men",BRONZE,Finland,Sweden,Stockholm 1912,Summer,1912
Rabod Wilhelm VON KRÖCHER,Stockholm 1912,Equestrian Jumping,individual mixed,SILVER,Germany,Sweden,Stockholm 1912,Summer,1912
Ake LUNDEBERG,Stockholm 1912,Shooting,100m running deer double shots men,GOLD,Sweden,Sweden,Stockholm 1912,Summer,1912
Engebret SKOGEN,Stockholm 1912,Shooting,army rifle 300m 3 positions men,BRONZE,Norway,Sweden,Stockholm 1912,Summer,1912
John E. JACKSON,Stockholm 1912,Shooting,600m free rifle men,BRONZE,United States of America,Sweden,Stockholm 1912,Summer,1912
Nestori TOIVONEN,Stockholm 1912,Shooting,100m running deer single shots men,BRONZE,Finland,Sweden,Stockholm 1912,Summer,1912
Peter J. DOLFEN,Stockholm 1912,Shooting,50m pistol 60 shots men,SILVER,United States of America,Sweden,Stockholm 1912,Summer,1912
Charles Edward STEWART,Stockholm 1912,Shooting,50m pistol 60 shots men,BRONZE,Great Britain,Sweden,Stockholm 1912,Summer,1912
Georg DE LAVAL,Stockholm 1912,Modern Pentathlon,Individual competition men,BRONZE,Sweden,Sweden,Stockholm 1912,Summer,1912
Paul PALEN,Stockholm 1912,Shooting,25m rapid fire pistol 60 shots men,SILVER,Sweden,Sweden,Stockholm 1912,Summer,1912
Gideon ERICSSON,Stockholm 1912,Shooting,25m small rifle men,BRONZE,Sweden,Sweden,Stockholm 1912,Summer,1912
Harold BURT,Stockholm 1912,Shooting,50m rifle prone 60 shots men,BRONZE,Great Britain,Sweden,Stockholm 1912,Summer,1912
Alfred GOELDEL,Stockholm 1912,Shooting,trap 125 targets men,SILVER,Germany,Sweden,Stockholm 1912,Summer,1912
Hans VON BLIXEN-FINECKE,Stockholm 1912,Equestrian Dressage,individual mixed,BRONZE,Sweden,Sweden,Stockholm 1912,Summer,1912
Serafino MAZZAROCHI,Stockholm 1912,Gymnastics Artistic,individual all-round men,BRONZE,Italy,Sweden,Stockholm 1912,Summer,1912
William Duthie KINNEAR,Stockholm 1912,Rowing,single sculls 1x men,GOLD,Great Britain,Sweden,Stockholm 1912,Summer,1912
Everard Burnside BUTLER,Stockholm 1912,Rowing,single sculls 1x men,BRONZE,Canada,Sweden,Stockholm 1912,Summer,1912
Richard VERDERBER,Stockholm 1912,Fencing,foil individual men,BRONZE,Austria,Sweden,Stockholm 1912,Summer,1912
Béla BEKESSY,Stockholm 1912,Fencing,sabre individual men,SILVER,Hungary,Sweden,Stockholm 1912,Summer,1912
Philippe LE HARDY DE BEAULIEU,Stockholm 1912,Fencing,épée individual men,BRONZE,Belgium,Sweden,Stockholm 1912,Summer,1912
Ervin MESZAROS,Stockholm 1912,Fencing,sabre individual men,BRONZE,Hungary,Sweden,Stockholm 1912,Summer,1912
Rudolph LEWIS,Stockholm 1912,Cycling Road,individual time trial men,GOLD,South Africa,Sweden,Stockholm 1912,Summer,1912
Frederick Henry GRUBB,Stockholm 1912,Cycling Road,individual time trial men,SILVER,Great Britain,Sweden,Stockholm 1912,Summer,1912
Carl Otto SCHUTTE,Stockholm 1912,Cycling Road,individual time trial men,BRONZE,United States of America,Sweden,Stockholm 1912,Summer,1912
Gosta LILLIEHOOK,Stockholm 1912,Modern Pentathlon,Individual competition men,GOLD,Sweden,Sweden,Stockholm 1912,Summer,1912
Fanny DURACK,Stockholm 1912,Swimming,100m freestyle women,GOLD,Australasia,Sweden,Stockholm 1912,Summer,1912
Jennie FLETCHER,Stockholm 1912,Swimming,100m freestyle women,BRONZE,Great Britain,Sweden,Stockholm 1912,Summer,1912
George Ritchie HODGSON,Stockholm 1912,Swimming,1500m freestyle men,GOLD,Canada,Sweden,Stockholm 1912,Summer,1912
Harold H. HARDWICK,Stockholm 1912,Swimming,1500m freestyle men,BRONZE,Australasia,Sweden,Stockholm 1912,Summer,1912
Otto FAHR,Stockholm 1912,Swimming,100m backstroke men,SILVER,Germany,Sweden,Stockholm 1912,Summer,1912
Walter BATHE,Stockholm 1912,Swimming,200m breaststroke men,GOLD,Germany,Sweden,Stockholm 1912,Summer,1912
Willy LÜTZOW,Stockholm 1912,Swimming,200m breaststroke men,SILVER,Germany,Sweden,Stockholm 1912,Summer,1912
Kurt Paul MALISCH,Stockholm 1912,Swimming,200m breaststroke men,BRONZE,Germany,Sweden,Stockholm 1912,Summer,1912
Cecil HEALY,Stockholm 1912,Swimming,100m freestyle men,SILVER,Australasia,Sweden,Stockholm 1912,Summer,1912
Kenneth HUSZAGH,Stockholm 1912,Swimming,100m freestyle men,BRONZE,United States of America,Sweden,Stockholm 1912,Summer,1912
Paul KELLNER,Stockholm 1912,Swimming,100m backstroke men,BRONZE,Germany,Sweden,Stockholm 1912,Summer,1912
Georg HACKL,Calgary 1988,Luge,Singles men,SILVER,Federal Republic of Germany,Canada,Calgary 1988,Winter,1988
Paul ACCOLA,Calgary 1988,Alpine Skiing,alpine combined men,BRONZE,Switzerland,Canada,Calgary 1988,Winter,1988
Vladimir SMIRNOV,Calgary 1988,Cross Country Skiing,30km mass start men,SILVER,Soviet Union,Canada,Calgary 1988,Winter,1988
Jens MUELLER,Calgary 1988,Luge,Singles men,GOLD,German Democratic Republic (Germany),Canada,Calgary 1988,Winter,1988
Hippolyt KEMPF,Calgary 1988,Nordic Combined,Individual men,GOLD,Switzerland,Canada,Calgary 1988,Winter,1988
Allar LEVANDI,Calgary 1988,Nordic Combined,Individual men,BRONZE,Soviet Union,Canada,Calgary 1988,Winter,1988
Anfisa REZTSOVA,Calgary 1988,Cross Country Skiing,20km women,SILVER,Soviet Union,Canada,Calgary 1988,Winter,1988
Valery MEDVEDTSEV,Calgary 1988,Biathlon,10km men,SILVER,Soviet Union,Canada,Calgary 1988,Winter,1988
Igor ZHELEZOVSKY,Calgary 1988,Speed skating,1000m men,BRONZE,Soviet Union,Canada,Calgary 1988,Winter,1988
Eric FLAIM,Calgary 1988,Speed skating,1500m men,SILVER,United States of America,Canada,Calgary 1988,Winter,1988
Viktor PETRENKO,Calgary 1988,Figure skating,Individual men,BRONZE,Soviet Union,Canada,Calgary 1988,Winter,1988
Bernhard GSTREIN,Calgary 1988,Alpine Skiing,alpine combined men,SILVER,Austria,Canada,Calgary 1988,Winter,1988
Anita WACHTER,Calgary 1988,Alpine Skiing,alpine combined women,GOLD,Austria,Canada,Calgary 1988,Winter,1988
Vreni SCHNEIDER,Calgary 1988,Alpine Skiing,slalom women,GOLD,Switzerland,Canada,Calgary 1988,Winter,1988
Vegard ULVANG,Calgary 1988,Cross Country Skiing,30km mass start men,BRONZE,Norway,Canada,Calgary 1988,Winter,1988
Vida VENCIENE,Calgary 1988,Cross Country Skiing,5km women,BRONZE,Soviet Union,Canada,Calgary 1988,Winter,1988
Leo VISSER,Calgary 1988,Speed skating,5000m men,SILVER,Netherlands,Canada,Calgary 1988,Winter,1988
Nikolay GULYAEV,Calgary 1988,Speed skating,1000m men,GOLD,Soviet Union,Canada,Calgary 1988,Winter,1988
Erik JOHNSEN,Calgary 1988,Ski Jumping,Large Hill Individual men,SILVER,Norway,Canada,Calgary 1988,Winter,1988
Matjaz DEBELAK,Calgary 1988,Ski Jumping,Large Hill Individual men,BRONZE,Yugoslavia,Canada,Calgary 1988,Winter,1988
Jiri MALEC,Calgary 1988,Ski Jumping,Normal Hill Individual men,BRONZE,Czechoslovakia,Canada,Calgary 1988,Winter,1988
Debra THOMAS,Calgary 1988,Figure skating,Individual women,BRONZE,United States of America,Canada,Calgary 1988,Winter,1988
Gerard KEMKERS,Calgary 1988,Speed skating,5000m men,BRONZE,Netherlands,Canada,Calgary 1988,Winter,1988
Mikhail DEVYATYAROV,Calgary 1988,Cross Country Skiing,15km men,GOLD,Soviet Union,Canada,Calgary 1988,Winter,1988
Tamara TIKHONOVA,Calgary 1988,Cross Country Skiing,5km women,SILVER,Soviet Union,Canada,Calgary 1988,Winter,1988
Cerstin SCHMIDT,Calgary 1988,Luge,Singles women,BRONZE,German Democratic Republic (Germany),Canada,Calgary 1988,Winter,1988
Helmut MAYER,Calgary 1988,Alpine Skiing,super-G men,SILVER,Austria,Canada,Calgary 1988,Winter,1988
Lars-Börje ERIKSSON,Calgary 1988,Alpine Skiing,super-G men,BRONZE,Sweden,Canada,Calgary 1988,Winter,1988
Karen PERCY,Calgary 1988,Alpine Skiing,downhill women,BRONZE,Canada,Canada,Calgary 1988,Winter,1988
Sigrid WOLF,Calgary 1988,Alpine Skiing,super-G women,GOLD,Austria,Canada,Calgary 1988,Winter,1988
Ragnar SKANÄKER,Munich 1972,Shooting,50m pistol 60 shots mixed,GOLD,Sweden,Federal Republic of Germany,Munich 1972,Summer,1972
Jan JÖNSSON,Munich 1972,Equestrian Eventing,individual mixed,BRONZE,Sweden,Federal Republic of Germany,Munich 1972,Summer,1972
Angelo PARISI,Munich 1972,Judo,open category men,BRONZE,Great Britain,Federal Republic of Germany,Munich 1972,Summer,1972
Pietro MENNEA,Munich 1972,Athletics,200m men,BRONZE,Italy,Federal Republic of Germany,Munich 1972,Summer,1972
Rodney DIXON,Munich 1972,Athletics,1500m men,BRONZE,New Zealand,Federal Republic of Germany,Munich 1972,Summer,1972
Karel LISMONT,Munich 1972,Athletics,marathon men,SILVER,Belgium,Federal Republic of Germany,Munich 1972,Summer,1972
Ulrike MEYFARTH,Munich 1972,Athletics,high jump women,GOLD,Federal Republic of Germany,Federal Republic of Germany,Munich 1972,Summer,1972
Dwight Edwin STONES,Munich 1972,Athletics,high jump men,BRONZE,United States of America,Federal Republic of Germany,Munich 1972,Summer,1972
Helmut BELLINGRODT,Munich 1972,Shooting,50m running target 3030 shots mixed,SILVER,Colombia,Federal Republic of Germany,Munich 1972,Summer,1972
Victor DOLIPSCHI,Munich 1972,Wrestling,"Super-Heavyweight, Greco-Roman (>100 kilograms) Men",BRONZE,Romania,Federal Republic of Germany,Munich 1972,Summer,1972
Peter HUSSING,Munich 1972,Boxing,81kg heavyweight men,BRONZE,Federal Republic of Germany,Federal Republic of Germany,Munich 1972,Summer,1972
Kyösti Kalevi LAASONEN,Munich 1972,Archery,individual FITA round men,BRONZE,Finland,Federal Republic of Germany,Munich 1972,Summer,1972
Vasily ALEKSEYEV,Munich 1972,Weightlifting,110kg super heavyweight men,GOLD,Soviet Union,Federal Republic of Germany,Munich 1972,Summer,1972
Zbigniew KACZMAREK,Munich 1972,Weightlifting,60-67.5kg lightweight men,BRONZE,Poland,Federal Republic of Germany,Munich 1972,Summer,1972
Vitali KUZNETSOV,Munich 1972,Judo,open category men,SILVER,Soviet Union,Federal Republic of Germany,Munich 1972,Summer,1972
Ilias HADZIPAVLIS,Munich 1972,Sailing,Finn - One Person Dinghy (Heavyweight) men,SILVER,Greece,Federal Republic of Germany,Munich 1972,Summer,1972
Nikolay ANDRIANOV,Munich 1972,Gymnastics Artistic,floor exercises men,GOLD,Soviet Union,Federal Republic of Germany,Munich 1972,Summer,1972
Aleksandr TOMOV,Munich 1972,Wrestling,"Super-Heavyweight, Greco-Roman (>100 kilograms) Men",SILVER,Bulgaria,Federal Republic of Germany,Munich 1972,Summer,1972
Kazimierz LIPIEN,Munich 1972,Wrestling,"Featherweight, Greco-Roman (≤62 kilograms) Men",BRONZE,Poland,Federal Republic of Germany,Munich 1972,Summer,1972
Lasse VIREN,Munich 1972,Athletics,10000m men,GOLD,Finland,Federal Republic of Germany,Munich 1972,Summer,1972
Miruts YIFTER,Munich 1972,Athletics,10000m men,BRONZE,Ethiopia,Federal Republic of Germany,Munich 1972,Summer,1972
Tapio KANTANEN,Munich 1972,Athletics,3000m steeplechase men,BRONZE,Finland,Federal Republic of Germany,Munich 1972,Summer,1972
Burglinde POLLAK,Munich 1972,Athletics,pentathlon women,BRONZE,German Democratic Republic (Germany),Federal Republic of Germany,Munich 1972,Summer,1972
Ruth FUCHS,Munich 1972,Athletics,javelin throw women,GOLD,German Democratic Republic (Germany),Federal Republic of Germany,Munich 1972,Summer,1972
Silvano BASAGNI,Munich 1972,Shooting,trap (125 targets) mixed,BRONZE,Italy,Federal Republic of Germany,Munich 1972,Summer,1972
Laszlo ORBAN,Munich 1972,Boxing,57-60kg lightweight men,SILVER,Hungary,Federal Republic of Germany,Munich 1972,Summer,1972
Daniel IUGA,Munich 1972,Shooting,50m pistol 60 shots mixed,SILVER,Romania,Federal Republic of Germany,Munich 1972,Summer,1972
Andras HARGITAY,Munich 1972,Swimming,400m individual medley men,BRONZE,Hungary,Federal Republic of Germany,Munich 1972,Summer,1972
Teofilo STEVENSON,Munich 1972,Boxing,81kg heavyweight men,GOLD,Cuba,Federal Republic of Germany,Munich 1972,Summer,1972
Shota CHOCHOSHVILI,Munich 1972,Judo,80 - 93kg (half-heavyweight) men,GOLD,Soviet Union,Federal Republic of Germany,Munich 1972,Summer,1972
Dietmar HÖTGER,Munich 1972,Judo,63  70kg halfmiddleweight men,BRONZE,German Democratic Republic (Germany),Federal Republic of Germany,Munich 1972,Summer,1972
David Colin STARBROOK,Munich 1972,Judo,80 - 93kg (half-heavyweight) men,SILVER,Great Britain,Federal Republic of Germany,Munich 1972,Summer,1972
Jean-Paul COCHE,Munich 1972,Judo,70  80kg middleweight men,BRONZE,France,Federal Republic of Germany,Munich 1972,Summer,1972
Victor Lee AUER,Munich 1972,Shooting,50m rifle prone 60 shots mixed,SILVER,United States of America,Federal Republic of Germany,Munich 1972,Summer,1972
Rudolf DOLLINGER,Munich 1972,Shooting,50m pistol 60 shots mixed,BRONZE,Austria,Federal Republic of Germany,Munich 1972,Summer,1972
Lanny BASSHAM,Munich 1972,Shooting,50m rifle 3 positions 3x40 shots mixed,SILVER,United States of America,Federal Republic of Germany,Munich 1972,Summer,1972
Viktor TORSHIN,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed,BRONZE,Soviet Union,Federal Republic of Germany,Munich 1972,Summer,1972
Irena SZYDLOWSKA,Munich 1972,Archery,individual FITA round women,SILVER,Poland,Federal Republic of Germany,Munich 1972,Summer,1972
Gunnar JERVILL,Munich 1972,Archery,individual FITA round men,SILVER,Sweden,Federal Republic of Germany,Munich 1972,Summer,1972
Gerd BONK,Munich 1972,Weightlifting,110kg super heavyweight men,BRONZE,German Democratic Republic (Germany),Federal Republic of Germany,Munich 1972,Summer,1972
Atanas SHOPOV,Munich 1972,Weightlifting,825  90kg total middleheavyweight men,SILVER,Bulgaria,Federal Republic of Germany,Munich 1972,Summer,1972
Lajos SZÜCS,Munich 1972,Weightlifting,52kg flyweight men,SILVER,Hungary,Federal Republic of Germany,Munich 1972,Summer,1972
Zygmunt SMALCERZ,Munich 1972,Weightlifting,52kg flyweight men,GOLD,Poland,Federal Republic of Germany,Munich 1972,Summer,1972
Peter MAROTH,Munich 1972,Fencing,sabre individual men,SILVER,Hungary,Federal Republic of Germany,Munich 1972,Summer,1972
Kornelia ENDER,Munich 1972,Swimming,200m individual medley women,SILVER,German Democratic Republic (Germany),Federal Republic of Germany,Munich 1972,Summer,1972
Shirley Farber BABASHOFF,Munich 1972,Swimming,200m freestyle women,SILVER,United States of America,Federal Republic of Germany,Munich 1972,Summer,1972
Karen Patricia MOE-THORNTON,Munich 1972,Swimming,200m butterfly women,GOLD,United States of America,Federal Republic of Germany,Munich 1972,Summer,1972
David Andrew WILKIE,Munich 1972,Swimming,200m breaststroke men,SILVER,Great Britain,Federal Republic of Germany,Munich 1972,Summer,1972
John Frederick HENCKEN,Munich 1972,Swimming,100m breaststroke men,BRONZE,United States of America,Federal Republic of Germany,Munich 1972,Summer,1972
Melissa Louise BELOTE,Munich 1972,Swimming,200m backstroke women,GOLD,United States of America,Federal Republic of Germany,Munich 1972,Summer,1972
Alexander Timothy MCKEE,Munich 1972,Swimming,200m individual medley men,SILVER,United States of America,Federal Republic of Germany,Munich 1972,Summer,1972
Steven Charles FURNISS,Munich 1972,Swimming,200m individual medley men,BRONZE,United States of America,Federal Republic of Germany,Munich 1972,Summer,1972
Clyde SEFTON,Munich 1972,Cycling Road,individual road race men,SILVER,Australia,Federal Republic of Germany,Munich 1972,Summer,1972
Serge MAURY,Munich 1972,Sailing,Finn - One Person Dinghy (Heavyweight) men,GOLD,France,Federal Republic of Germany,Munich 1972,Summer,1972
Gunhild HOFFMEISTER,Munich 1972,Athletics,800m women,BRONZE,German Democratic Republic (Germany),Federal Republic of Germany,Munich 1972,Summer,1972
Lyudmila BRAGINA,Munich 1972,Athletics,1500m women,GOLD,Soviet Union,Federal Republic of Germany,Munich 1972,Summer,1972
Leonid LITVINENKO,Munich 1972,Athletics,decathlon men,SILVER,Soviet Union,Federal Republic of Germany,Munich 1972,Summer,1972
Ryszard KATUS,Munich 1972,Athletics,decathlon men,BRONZE,Poland,Federal Republic of Germany,Munich 1972,Summer,1972
Faina MELNIK,Munich 1972,Athletics,discus throw women,GOLD,Soviet Union,Federal Republic of Germany,Munich 1972,Summer,1972
Argentina MENIS,Munich 1972,Athletics,discus throw women,SILVER,Romania,Federal Republic of Germany,Munich 1972,Summer,1972
Ian STEWART,Munich 1972,Athletics,5000m men,BRONZE,Great Britain,Federal Republic of Germany,Munich 1972,Summer,1972
Valeriy BORZOV,Munich 1972,Athletics,100m men,GOLD,Soviet Union,Federal Republic of Germany,Munich 1972,Summer,1972
Guy DRUT,Munich 1972,Athletics,110m hurdles men,SILVER,France,Federal Republic of Germany,Munich 1972,Summer,1972
Renate STECHER,Munich 1972,Athletics,100m women,GOLD,German Democratic Republic (Germany),Federal Republic of Germany,Munich 1972,Summer,1972
Arnie ROBINSON,Munich 1972,Athletics,long jump men,BRONZE,United States of America,Federal Republic of Germany,Munich 1972,Summer,1972
Randel Luvelle WILLIAMS,Munich 1972,Athletics,long jump men,GOLD,United States of America,Federal Republic of Germany,Munich 1972,Summer,1972
Hans BAUMGARTNER,Munich 1972,Athletics,long jump men,SILVER,Federal Republic of Germany,Federal Republic of Germany,Munich 1972,Summer,1972
Kathryn Joan SCHMIDT,Munich 1972,Athletics,javelin throw women,BRONZE,United States of America,Federal Republic of Germany,Munich 1972,Summer,1972
Jaqueline TODTEN-HEIN,Munich 1972,Athletics,javelin throw women,SILVER,German Democratic Republic (Germany),Federal Republic of Germany,Munich 1972,Summer,1972
Anatoli BONDARCHUK,Munich 1972,Athletics,hammer throw men,GOLD,Soviet Union,Federal Republic of Germany,Munich 1972,Summer,1972
Jochen SACHSE,Munich 1972,Athletics,hammer throw men,SILVER,German Democratic Republic (Germany),Federal Republic of Germany,Munich 1972,Summer,1972
